Professor,Courses
James Vance,LGHT-4790
John Van Derlofske,"LGHT-4770, LGHT-4940, LGHT-4962, LGHT-6940, LGHT-6990"
Peter R. Boyce,"LGHT-4840, LGHT-4940, LGHT-6750, LGHT-6990, PSYC-6990"
Thomas J Wojtusik,LGHT-6780
Amy Perkins,"LITR-2110, LITR-4210, LITR-4940"
Ellen Esrock,"COMM-2410, COMM-2960, COMM-2961, COMM-4540, COMM-4965, COMM-6700, COMM-6940, COMM-9990, LITR-2150, LITR-2310, LITR-2770, LITR-4160, LITR-4770, LITR-4940, LITR-4965, LITR-6940"
June Deery,"ARTS-4940, COMM-4530, COMM-4560, COMM-4580, COMM-4961, COMM-4962, COMM-4964, COMM-4969, COMM-6530, COMM-6790, COMM-6940, COMM-6960, COMM-6962, COMM-6963, COMM-9990, IHSS-1966, IHSS-6960, LITR-2450, LITR-2961, LITR-4150, LITR-4230, LITR-4960, LITR-4964"
Alan Nadel,"COMM-2963, COMM-6940, COMM-9990, LITR-2110, LITR-2150, LITR-2420, LITR-2460, LITR-2770, LITR-2940, LITR-2960, LITR-2961, LITR-4210, LITR-4410, LITR-4940, LITR-4961, LITR-4962, LITR-6940, LITR-6961, WRIT-6940"
Leonard Slade,"LITR-2460, LITR-2960, LITR-4962, WRIT-1110"
Lloyd Bernard Tredwell,MGMT-0060
Gideon D. Markman,"MGMT-1100, MGMT-4510, MGMT-6630, MGMT-6640, MGMT-6670"
David M Grandeau,"MGMT-1260, MGMT-6940, MGMT-6964, MGMT-6965"
Charles F Rancourt,MGMT-2100
Katherine Silvester,"MGMT-2300, MGMT-4230, MGMT-4940, MGMT-6190, MGMT-6940"
William C. St John,"EMBA-6180, EMBA-6964, MGMT-2300, MGMT-2320, MGMT-2940, MGMT-4220, MGMT-4940, MGMT-6963"
Irvin W. Morgan,"MGMT-2320, MGMT-2940, MGMT-4310, MGMT-4340, MGMT-4940, MGMT-4963, MGMT-6240, MGMT-6310, MGMT-6940, MGMT-6963"
Russell W. Robbins,"MGMT-2510, MGMT-4150, MGMT-4940, MGMT-4962, MGMT-6940"
Frank X. Wright,"MGMT-1100, MGMT-2940, MGMT-4390, MGMT-4520, MGMT-4530, MGMT-4900, MGMT-4940, MGMT-4960, MGMT-4961, MGMT-4962, MGMT-4964, MGMT-4966, MGMT-6350, MGMT-6620, MGMT-6940"
Robert A Baron,"MGMT-2940, MGMT-4510, MGMT-4850, MGMT-6010, MGMT-6640, MGMT-6940, MGMT-6967, MGMT-6976, MGMT-9990, PSYC-4990, PSYC-6990"
Robert Sands,"MGMT-0060, MGMT-1100, MGMT-2940, MGMT-4860, MGMT-4940, MGMT-6720, MGMT-6940, PSYC-4940"
Moren Levesque,"MGMT-4100, MGMT-6100, MGMT-9990"
James W. MacLain,"MGMT-2510, MGMT-4020, MGMT-4140, MGMT-4940, MGMT-4961, MGMT-4964, MGMT-4965"
Marylouise K. Dowd,MGMT-4150
Richard Burke,"EMBA-6110, MGMT-4150, MGMT-6100, MGMT-6110, MGMT-6940, MGMT-6965"
Theresa Lynne Taylor,MGMT-4150
Yu-Jung Avis,"MGMT-2300, MGMT-2320, MGMT-4320, MGMT-6940"
Albert S Paulson,"DSES-6940, DSES-9990, ECSE-6940, MGMT-2940, MGMT-4320, MGMT-4330, MGMT-4370, MGMT-4940, MGMT-4961, MGMT-4963, MGMT-4964, MGMT-6330, MGMT-6410, MGMT-6940, MGMT-6961, MGMT-6962, MGMT-6963, MGMT-6964, MGMT-7430, MGMT-9990"
James Patrick Murtagh,"EMBA-6340, EMBA-6360, EMBA-6962, EMBA-6963, MGMT-2320, MGMT-2940, MGMT-4320, MGMT-4330, MGMT-4340, MGMT-4350, MGMT-4940, MGMT-4962, MGMT-6310, MGMT-6320, MGMT-6340, MGMT-6360, MGMT-6410, MGMT-6940, MGMT-7060, MGMT-7730"
Trina Sego,"MGMT-4430, MGMT-4490, MGMT-6940"
Pier A Abetti,"MGMT-1100, MGMT-4520, MGMT-4530, MGMT-4940, MGMT-4961, MGMT-6010, MGMT-6600, MGMT-6620, MGMT-6630, MGMT-6670, MGMT-6680, MGMT-6840, MGMT-6940, MGMT-6970, MGMT-7020, MGMT-7750, MGMT-9990"
Robert A McDonald,"MGMT-2100, MGMT-4850, MGMT-4940, MGMT-6720, MGMT-6940, MGMT-6968, MGMT-9990"
Lois S Peters,"CHME-6964, MGMT-2100, MGMT-4510, MGMT-4520, MGMT-4860, MGMT-4940, MGMT-4962, MGMT-4965, MGMT-4966, MGMT-6060, MGMT-6070, MGMT-6590, MGMT-6620, MGMT-6640, MGMT-6900, MGMT-6940, MGMT-6963, MGMT-6966, MGMT-6970, MGMT-6971, MGMT-6975, MGMT-6990, MGMT-9990, MTLE-4962, MTLE-6961, STSS-4966"
Bela L Musits,"EMBA-6200, MGMT-4520, MGMT-4530, MGMT-4940, MGMT-4961, MGMT-6620, MGMT-6630, MGMT-6940"
David Hollingworth,"MGMT-4100, MGMT-4110, MGMT-4940, MGMT-6110, MGMT-6940, MGMT-6962, MGMT-6965"
Jeffrey F. Durgee,"EMBA-6500, EMBA-6962, EMBA-6963, MATH-6940, MGMT-2430, MGMT-2940, MGMT-4430, MGMT-4460, MGMT-4470, MGMT-4490, MGMT-4900, MGMT-4940, MGMT-4967, MGMT-6010, MGMT-6040, MGMT-6050, MGMT-6500, MGMT-6540, MGMT-6550, MGMT-6580, MGMT-6800, MGMT-6840, MGMT-6940, MGMT-6962, MGMT-6969, MGMT-6980, MGMT-6990, MGMT-7050, MGMT-7060, MGMT-7100, MGMT-9990"
John Norsworthy,"ECON-6940, ESCI-9990, MGMT-4940, MGMT-4963, MGMT-6300, MGMT-6310, MGMT-6360, MGMT-6400, MGMT-6910, MGMT-6940, MGMT-6964, MGMT-6968, MGMT-6969, MGMT-6976, MGMT-9990"
Robert Boylan,"ECON-6940, EMBA-6170, EMBA-6180, MGMT-2300, MGMT-4940, MGMT-4965, MGMT-6190, MGMT-6210, MGMT-6300, MGMT-6940"
Satish P Nambisan,"MGMT-4150, MGMT-4160, MGMT-4240, MGMT-4940, MGMT-4966, MGMT-6080, MGMT-6170, MGMT-6180, MGMT-6940, MGMT-6963, MGMT-6966, MGMT-6967, MGMT-6969, MGMT-6990, MGMT-7030, MGMT-9990"
Robert W Veryzer Jr,"EMBA-6963, MGMT-4430, MGMT-4460, MGMT-4940, MGMT-4966, MGMT-6040, MGMT-6570, MGMT-6940, MGMT-7060"
Christopher Michael Lucarelli,"ISYE-4530, MGMT-4100, MGMT-4110, MGMT-4140, MGMT-4240, MGMT-6100, MGMT-6110, MGMT-6940"
Lael B. Peters,"ITEC-4310, MGMT-2510, MGMT-4140, MGMT-4940, MGMT-4961, MGMT-4962, MGMT-6040, MGMT-6050, MGMT-6140, MGMT-6170, MGMT-6710, MGMT-6720, MGMT-6940, MGMT-6962, MGMT-6965, MGMT-6969"
Thomas Triscari,"DSES-6940, DSES-6980, EMBA-6960, EMBA-6963, EMBA-6967, ITEC-4310, ITEC-6940, MGMT-4100, MGMT-4140, MGMT-4150, MGMT-4940, MGMT-6060, MGMT-6140, MGMT-6590, MGMT-6600, MGMT-6810, MGMT-6840, MGMT-6940, MGMT-6961, MGMT-6962, MGMT-6966, MGMT-6970, MGMT-7030, MGMT-7070, MGMT-7230, MGMT-7250"
William Stitt,"EMBA-6710, MGMT-4520, MGMT-6160, MGMT-6620, MGMT-6630, MGMT-6670, MGMT-6940"
James P. Stodder,"DSES-6470, ECON-4110, ECON-4965, EMBA-6961, EMBA-6962, EMBA-6964, EMBA-6966, MGMT-2100, MGMT-4350, MGMT-4360, MGMT-6020, MGMT-6290, MGMT-6300, MGMT-6340, MGMT-6360, MGMT-6400, MGMT-6840, MGMT-7730, MGMT-7740"
David H Goldenberg,"MGMT-2100, MGMT-2320, MGMT-4320, MGMT-4330, MGMT-4340, MGMT-4380, MGMT-4962, MGMT-4965, MGMT-6020, MGMT-6030, MGMT-6310, MGMT-6320, MGMT-6330, MGMT-6370, MGMT-6380, MGMT-6410, MGMT-6910, MGMT-6962, MGMT-6964"
Christopher McDermott,"EMBA-6490, EMBA-6963, MGMT-4110, MGMT-6490, MGMT-6510, MGMT-6520, MGMT-6810, MGMT-6940, MGMT-6961, MGMT-7050, MGMT-7060, MGMT-9990"
Gina O'Connor,"EMBA-6200, EMBA-6500, EMBA-6960, EMBA-6966, EMBA-6968, EMBA-6969, MGMT-4430, MGMT-4700, MGMT-4940, MGMT-4964, MGMT-4966, MGMT-6040, MGMT-6050, MGMT-6060, MGMT-6070, MGMT-6520, MGMT-6580, MGMT-6590, MGMT-6670, MGMT-6700, MGMT-6940, MGMT-6961, MGMT-6963, MGMT-6967, MGMT-6990, MGMT-7050, MGMT-7060, MGMT-7230, MGMT-7240, MGMT-7250, MGMT-9990"
Michael I. Boskin,"EMBA-6963, MGMT-4110, MGMT-6530, MGMT-6580, MGMT-6978, MGMT-7050, MGMT-7060"
Susan Sanderson,"COMM-6940, ITWS-6990, MANE-4965, MGMT-1100, MGMT-4460, MGMT-4520, MGMT-4530, MGMT-4940, MGMT-4961, MGMT-4963, MGMT-4965, MGMT-6060, MGMT-6070, MGMT-6350, MGMT-6390, MGMT-6560, MGMT-6630, MGMT-6650, MGMT-6660, MGMT-6840, MGMT-6940, MGMT-6960, MGMT-6967, MGMT-6990, MGMT-9990"
Ralph Miccio,"EMBA-6961, MGMT-1260, MGMT-2940, MGMT-6800, MGMT-6940, MGMT-6965, MGMT-7090"
Kevin Albro Fletcher,"MGMT-1100, MGMT-4800, MGMT-4850, MGMT-4860, MGMT-4940, MGMT-4960, MGMT-6511, MGMT-6820, MGMT-6840, MGMT-6860, MGMT-6940, MGMT-6964"
Bruce W Piasecki,"MGMT-6850, MGMT-6940, MGMT-9990"
Peter N Skinner,MGMT-6880
Frank Mendelson,"MGMT-6940, MGMT-6966, MGMT-6980"
Gene R Simons,"DSES-6940, MGMT-6810, MGMT-6840, MGMT-6940, MGMT-6960, MGMT-6965, MGMT-9990"
Jack M. Wilson,"MGMT-4940, MGMT-6940, MGMT-6963, MGMT-6969"
Shikhar Sarin,"MGMT-6200, MGMT-6580, MGMT-6940, MGMT-6968, MGMT-6973, MGMT-9990"
Shubo Xu,"MGMT-6840, MGMT-6940, MGMT-6971, MGMT-6980"
Therese Ryan Stillman,"MGMT-6961, MGMT-6966, MGMT-6967"
David Bellamy Hopkins,"MGMT-6870, MGMT-6965"
Preeti Sharma,MGMT-6966
Richard P Leifer,"EMBA-6700, MGMT-6120, MGMT-6640, MGMT-6770, MGMT-6940, MGMT-6962, MGMT-6965, MGMT-6971, MGMT-6973, MGMT-7080, MGMT-9990"
James M MacDonald,"EMBA-6300, EMBA-6961, EMBA-6965"
Frank Jenkins,"EMBA-6340, MGMT-6310"
David A. Aschauer,EMBA-6350
Hugh Johnson,"EMBA-6380, EMBA-6962, EMBA-6966"
Wolfgang Bessler,"EMBA-6360, EMBA-6961, EMBA-6962, MGMT-6340, MGMT-6380, MGMT-6940"
Minoru Tomozawa,"CHEM-1500, CHEM-1600, CHME-9990, ENGR-1500, ENGR-1600, ENGR-2010, ISCI-1600, MTLE-2100, MTLE-2980, MTLE-4030, MTLE-4940, MTLE-4941, MTLE-6962, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1600"
Krishna Rajan,"CHEM-1600, ENGR-1600, ESCI-9990, MTLE-2940, MTLE-2961, MTLE-6010, MTLE-6040, MTLE-6080, MTLE-6940, MTLE-6962, MTLE-6963, MTLE-6980, MTLE-9990"
Martin Eden Glicksman,"CSCI-9990, MTLE-4150, MTLE-4940, MTLE-6110, MTLE-6450, MTLE-6963, MTLE-6990, MTLE-9990"
Christoph Steinbruchel,"CHEM-1600, ENGR-1600, MTLE-4160, MTLE-4200, MTLE-6030, MTLE-6120, MTLE-6940, MTLE-6960, MTLE-6961, MTLE-6962, MTLE-6980, MTLE-6990, MTLE-9990"
David J Duquette,"CHEM-1600, ENGR-1600, ESCI-9990, ISCI-1600, MGMT-4940, MTLE-1200, MTLE-4310, MTLE-4430, MTLE-4910, MTLE-4920, MTLE-4940, MTLE-4960, MTLE-4961, MTLE-4962, MTLE-4963, MTLE-6940, MTLE-6961, MTLE-6962, MTLE-6963, MTLE-6964, MTLE-6980, MTLE-6990, MTLE-9990"
Roger N Wright,"ENGR-1600, ENGR-2530, MTLE-2980, MTLE-4400, MTLE-4450, MTLE-4960, MTLE-6250, MTLE-6610, MTLE-6940, MTLE-6960, MTLE-6961, MTLE-6980, MTLE-6990, MTLE-9990"
Sanford S Sternstein,"CHEM-1500, ENGR-1500, ENGR-1600, ENGR-2530, MTLE-4050, MTLE-4250, MTLE-4630, MTLE-6830, MTLE-6940, MTLE-6961, MTLE-9990"
Robert W Messler,"ENGR-1600, MTLE-4410, MTLE-4420, MTLE-4850, MTLE-4910, MTLE-4920, MTLE-4940, MTLE-4960, MTLE-4962, MTLE-4963, MTLE-6940, MTLE-6960, MTLE-6965, MTLE-6990, MTLE-9990"
Pulickel Ajayan,"CHEM-1600, CHME-9990, ECSE-4940, ENGR-1500, ENGR-1600, ENGR-2010, ESCI-9990, MANE-9990, MATH-2940, MATH-9990, MTLE-4940, MTLE-6900, MTLE-6940, MTLE-6960, MTLE-6961, MTLE-6962, MTLE-6963, MTLE-6990, MTLE-9990, PHYS-9990"
John B Hudson,"ENGR-2010, MTLE-4940, MTLE-6030, MTLE-6400, MTLE-6420, MTLE-6990, MTLE-9990"
Matthew B Koss,MTLE-6450
Chan I. Chung,"MTLE-4050, MTLE-4940, MTLE-6840, MTLE-6940"
Robert H Doremus,"BMED-2950, ECSE-6990, ENGR-2940, ESCI-9990, MTLE-2940, MTLE-4100, MTLE-4940, MTLE-6060, MTLE-6150, MTLE-6940, MTLE-6980, MTLE-6990, MTLE-9990"
Dr G Ramanath,"MTLE-2940, MTLE-6990, MTLE-9990"
Maria G. Reznikoff,MATH-1010
Susan Anne DiFranzo,MATH-1010
Andrew John Fredricks,MATH-1020
Andrew Kevin Heyd,MATH-1020
Antwan Dontez Clark,MATH-1020
Christopher J Cleveland,"MATH-1020, MATH-2400"
David A Schmidt,"MATH-1010, MATH-1020, MATH-1520, MATH-1960, MATH-2010, MATH-2011, MATH-2012, MATH-2400, MATH-2800, MATH-2940, MATH-9990"
Donald A Drew,"BCBP-4990, CSCI-4800, MATH-1010, MATH-1020, MATH-1900, MATH-1910, MATH-2010, MATH-2800, MATH-4500, MATH-4600, MATH-4700, MATH-4720, MATH-4800, MATH-4940, MATH-4950, MATH-6792, MATH-6940, MATH-6950, MATH-6951, MATH-6980, MATH-6990, MATH-9990, PHYS-9990"
Ioan Sapariuc,MATH-1020
Joseph Francis Nebus,"MATH-1020, MATH-4800"
Margaret Z. Kiehl,"MATH-1010, MATH-1020, MATH-1500, MATH-1520, MATH-1620, MATH-1960, MATH-2700, MATH-2940, MATH-4090, MATH-4940, MATH-6940, MATH-9990"
Sava Dediu,"MATH-1010, MATH-1020"
Vasile Lucian Basescu,"MATH-1020, MATH-2800"
Wayne Jerzak,MATH-1020
Xiaoyun Ji,"MATH-1020, MATH-2800"
Yonggang Xue,MATH-1020
Danielle Marie Goodwin,"ENGR-2961, MATH-1500, MATH-1520"
Isom Herron,"MATH-1020, MATH-1520, MATH-1900, MATH-1910, MATH-2010, MATH-2012, MATH-2400, MATH-2940, MATH-4100, MATH-4500, MATH-4600, MATH-4940, MATH-6500, MATH-6600, MATH-6640, MATH-6790, MATH-6791, MATH-6940, MATH-6990, MATH-9990"
Jerold Joseph Lewandowski,"MATH-2010, MATH-2400"
Neil Andre Santi,"MATH-2010, MATH-2400, MATH-4600"
Bernard A Fleishman,"MATH-2400, MATH-2940"
Leslie J.Camacho Aquino,MATH-2400
Rebecca Lynelle Maserumule,MATH-2400
Scott David Frank,MATH-2400
William L. Siegmann,"MANE-6990, MATH-2400, MATH-4940, MATH-4980, MATH-6790, MATH-6791, MATH-6940, MATH-6980, MATH-6990, MATH-9990, MGMT-9990, MTLE-6990, MTLE-9990"
Donna Ann Dietz,"ENGR-2961, MATH-2800, MATH-4800"
Joseph G Ecker,"DSES-4770, DSES-4780, DSES-4940, ISYE-4770, MATH-1020, MATH-1500, MATH-1520, MATH-1900, MATH-1910, MATH-1940, MATH-2800, MATH-2940, MATH-4940, MATH-6940, MATH-6950, MATH-9990, MATP-4700, MATP-4820, MATP-6610, MATP-6940, MGMT-6940"
Chjan C Lim,"DSES-4750, DSES-6940, MATH-1900, MATH-1910, MATH-2010, MATH-4010, MATH-4040, MATH-4100, MATH-4200, MATH-4210, MATH-4300, MATH-4600, MATH-4740, MATH-4950, MATH-6190, MATH-6200, MATH-6220, MATH-6240, MATH-6490, MATH-6740, MATH-6790, MATH-6890, MATH-6940, MATH-6960, MATH-9990, MATP-4600"
Bruce Piper,"ADMN-1962, MATH-1010, MATH-1020, MATH-1500, MATH-1520, MATH-1900, MATH-1910, MATH-1960, MATH-1961, MATH-2010, MATH-2960, MATH-4010, MATH-4020, MATH-4040, MATH-4090, MATH-4100, MATH-4120, MATH-4200, MATH-4210, MATH-4300, MATH-4940, MATH-4950, MATH-4960, MATH-4962, MATH-6190, MATH-6200, MATH-6940, MATH-6970, MATH-6980, MATH-9990, MATP-4400"
Victor Roytburd,"CSCI-4800, MATH-1020, MATH-1900, MATH-1910, MATH-2400, MATH-4040, MATH-4100, MATH-4200, MATH-4210, MATH-4300, MATH-4600, MATH-4800, MATH-4940, MATH-4961, MATH-6200, MATH-6500, MATH-6940, MATH-6980, MATH-6990, MATH-9990"
Harry W McLaughlin,"CSCI-6990, MATH-1010, MATH-1020, MATH-1500, MATH-1620, MATH-1900, MATH-1910, MATH-1960, MATH-2010, MATH-2700, MATH-2800, MATH-4010, MATH-4090, MATH-4100, MATH-4210, MATH-4940, MATH-4950, MATH-4960, MATH-4961, MATH-4965, MATH-6191, MATH-6200, MATH-6940, MATH-6960, MATH-6961, MATH-6965, MATH-6970, MATH-6980, MATH-6990, MATH-9990"
Thomas Pok-Yin Yu,"MATH-2010, MATH-2800, MATH-4040, MATH-4210, MATH-4600, MATH-4940, MATH-6200, MATH-6220, MATH-6790, MATH-6890, MATH-6940, MATH-6970, MATH-6980, MATH-6990, MATH-9990"
Thomas Pok-Yin Do Not Use Yu,MATH-6200
Gregor Kovacic,"MATH-1020, MATH-1900, MATH-1910, MATH-2010, MATH-2400, MATH-4100, MATH-4200, MATH-4210, MATH-4300, MATH-4400, MATH-4600, MATH-4940, MATH-4941, MATH-6300, MATH-6400, MATH-6490, MATH-6600, MATH-6640, MATH-6790, MATH-6940, MATH-6970, MATH-6990, MATH-9990"
Joyce R. McLaughlin,"MATH-2400, MATH-4940, MATH-6190, MATH-6220, MATH-6240, MATH-6500, MATH-6590, MATH-6790, MATH-6791, MATH-6940, MATH-6961, MATH-6980, MATH-6990, MATH-9990, MGMT-9990"
Ashwani Kumar Kapila,"CSCI-4800, MATH-1010, MATH-1020, MATH-1900, MATH-1910, MATH-2010, MATH-2400, MATH-2961, MATH-4300, MATH-4500, MATH-4600, MATH-4700, MATH-4800, MATH-4940, MATH-6500, MATH-6600, MATH-6610, MATH-6620, MATH-6640, MATH-6790, MATH-6940, MATH-6980, MATH-6990, MATH-9990"
David Isaacson,"CSCI-4820, MATH-1900, MATH-2010, MATH-2400, MATH-2940, MATH-4100, MATH-4120, MATH-4300, MATH-4500, MATH-4720, MATH-4820, MATH-6200, MATH-6220, MATH-6300, MATH-6400, MATH-6500, MATH-6590, MATH-6790, MATH-6791, MATH-6792, MATH-6940, MATH-6961, MATH-6980, MATH-6990, MATH-9990"
Mary Jane Rissberger,"USAR-0010, USAR-0080, USAR-1010, USAR-1020, USAR-2010, USAR-2020, USAR-2060, USAR-2070, USAR-2940, USAR-4010, USAR-4020"
Alexander Rosario,"USNA-0020, USNA-2060"
Michael James Primeau,"USNA-0030, USNA-0040, USNA-2940, USNA-4190, USNA-4940"
William Emert Solomon,"USNA-0050, USNA-0060, USNA-0080, USNA-2040, USNA-2050"
William Steven Wolff,"MGMT-6940, MGMT-6964, MGMT-6965, STSS-6940, USNA-2020, USNA-2030"
Mark James Ruger,"USNA-2940, USNA-4940"
James T. Fahey,"IHSS-1960, IHSS-1964, PHIL-1110, PHIL-2130, PHIL-2961, PHIL-4440, PHIL-4480, PHIL-4720, PHIL-4960, PHIL-4961, PHIL-4990, PSYC-4990, STSH-2130"
James F Fahey,"PHIL-2940, PHIL-6940"
Michael J Kalsher,"ARTS-1961, BIOL-2990, CHEM-4990, COGS-4960, COGS-4990, COGS-6310, COGS-6960, COGS-6980, COGS-6990, COGS-9990, COMM-1600, COMM-4960, COMM-6540, COMM-6960, ECON-1200, ECON-2010, ECON-4130, IHSS-1240, IHSS-4961, IHSS-6961, ISYE-4960, MGMT-4460, MGMT-6962, MGMT-6969, MGMT-6971, MGMT-7961, PHIL-2100, PHIL-2140, PHIL-2940, PHIL-2960, PHIL-4240, PHIL-4960, PHIL-4963, PHIL-4965, PSYC-1200, PSYC-2100, PSYC-2220, PSYC-2310, PSYC-2730, PSYC-2940, PSYC-2961, PSYC-2962, PSYC-2964, PSYC-4170, PSYC-4310, PSYC-4400, PSYC-4940, PSYC-4960, PSYC-4961, PSYC-4962, PSYC-4964, PSYC-4990, PSYC-6420, PSYC-6940, PSYC-6990, STSH-4120, STSH-4940, STSS-4120, WRIT-2340"
Robert M Seltzer,PHIL-2961
William J Puka,"COGS-4940, IHSS-1960, IHSS-1971, PHIL-2150, PHIL-2600, PHIL-2940, PHIL-2960, PHIL-2961, PHIL-2962, PHIL-2964, PHIL-4240, PHIL-4940, PHIL-4960, PHIL-4961, PHIL-4963, PHIL-4965, PHIL-4969, PHIL-4990, PHIL-6940, PSYC-2600, PSYC-2940, PSYC-2960, PSYC-2961, PSYC-2963, PSYC-2964, PSYC-2966, PSYC-4940, PSYC-4960, PSYC-4963, PSYC-4967, PSYC-4969, PSYC-4990, PSYC-6940"
Michael J Zenzen,"ENVE-4940, MGMT-4940, PHIL-1110, PHIL-2830, PHIL-4360, PHIL-4380, PHIL-4520, PHIL-4940, PHIL-4960, PHIL-4990, PHYS-2940"
John M Koller,"PHIL-1110, PHIL-2300, PHIL-2830, PHIL-2940, PHIL-4570, PHIL-4940, PHIL-4960, PHIL-4962"
Edward S. Kacerguis,"IHSS-4940, PHIL-2940, PHIL-2964, PHIL-2966, PHIL-4940, PHIL-6940, PSYC-2940, PSYC-4990, STSH-2940, STSS-2940, STSS-4940"
John Schroeder,"PHYS-1050, PHYS-1100, PHYS-1200, PHYS-1960, PHYS-2620, PHYS-2963, PHYS-4940, PHYS-4961, PHYS-4962, PHYS-4965, PHYS-6210, PHYS-6310, PHYS-6410, PHYS-6590, PHYS-6900, PHYS-6960, PHYS-6961, PHYS-6962, PHYS-6980, PHYS-9990"
Daniel Sperber,"PHYS-1100, PHYS-1200, PHYS-1230, PHYS-4210"
Gary S Adams,"PHYS-1100, PHYS-1200, PHYS-2350, PHYS-2510, PHYS-2940, PHYS-4370, PHYS-4620, PHYS-4940, PHYS-6940, PHYS-6970, PHYS-6980, PHYS-6990, PHYS-9990"
Gwo Ching Wang,"ECSE-4720, PHYS-1010, PHYS-1100, PHYS-1110, PHYS-1200, PHYS-1940, PHYS-2370, PHYS-2510, PHYS-2940, PHYS-2941, PHYS-2950, PHYS-2990, PHYS-4370, PHYS-4720, PHYS-4750, PHYS-4940, PHYS-4941, PHYS-6900, PHYS-6940, PHYS-6980, PHYS-6990, PHYS-9990"
Michael J. Malak,"PHYS-1100, PHYS-1200"
Paul Stoler,"PHYS-1100, PHYS-1200, PHYS-1250, PHYS-2100, PHYS-2110, PHYS-2510, PHYS-2940, PHYS-2961, PHYS-2990, PHYS-4940, PHYS-6900, PHYS-6940, PHYS-6980, PHYS-6990, PHYS-9990"
Philip A Casabella,"PHYS-1100, PHYS-1200, PHYS-1500, PHYS-2940, PHYS-4420, PHYS-6980"
Karen Cummings,"MGMT-2940, PHYS-1100, PHYS-1200, PHYS-4940, PHYS-6940, PHYS-9990"
Paul Bedrosian,"PHYS-1100, PHYS-1200"
Thomas G Shannon,"PHYS-1100, PHYS-1200"
Timothy M Hayes,"PHYS-1100, PHYS-1200, PHYS-2310, PHYS-2330, PHYS-4100, PHYS-6410, PHYS-6980, PHYS-9990, PSYC-6990"
James J Napolitano,"ASTR-2050, PHYS-1010, PHYS-1100, PHYS-1150, PHYS-1200, PHYS-1961, PHYS-2330, PHYS-2350, PHYS-2940, PHYS-2960, PHYS-4100, PHYS-4210, PHYS-4330, PHYS-4370, PHYS-4510, PHYS-4910, PHYS-4940, PHYS-6510, PHYS-6520, PHYS-6530, PHYS-6980, PHYS-6990, PHYS-9990"
Peter Persans,"ASTR-1510, ASTR-4220, ECSE-4640, ECSE-4720, ECSE-6940, PHYS-1010, PHYS-1050, PHYS-1100, PHYS-1101, PHYS-1140, PHYS-1141, PHYS-1150, PHYS-1200, PHYS-1250, PHYS-1960, PHYS-1961, PHYS-1962, PHYS-2100, PHYS-2110, PHYS-2170, PHYS-2210, PHYS-2220, PHYS-2330, PHYS-2350, PHYS-2510, PHYS-2620, PHYS-2900, PHYS-2940, PHYS-2941, PHYS-2950, PHYS-2960, PHYS-2961, PHYS-2962, PHYS-2963, PHYS-2964, PHYS-2990, PHYS-4170, PHYS-4210, PHYS-4220, PHYS-4370, PHYS-4510, PHYS-4640, PHYS-4720, PHYS-4910, PHYS-4940, PHYS-4941, PHYS-4960, PHYS-4961, PHYS-4962, PHYS-4963, PHYS-4964, PHYS-6210, PHYS-6510, PHYS-6530, PHYS-6590, PHYS-6710, PHYS-6900, PHYS-6940, PHYS-6980, PHYS-6990, PHYS-9990, PSYC-6940"
Roland Kersting,"PHYS-1200, PHYS-2620, PHYS-2940, PHYS-4940, PHYS-6710, PHYS-6940, PHYS-6980, PHYS-6990, PHYS-9990"
Doris Jeanne Wagner,"PHYS-1200, PHYS-2050, PHYS-2940, PHYS-2961, PHYS-4940"
Richard M Davidson,"PHYS-1200, PHYS-2990, PHYS-4510, PHYS-6510, PHYS-6520, PHYS-6530, PHYS-6620, PHYS-6940, PHYS-9990"
Joseph S. Levinger,"ASTR-1530, PHYS-6520"
Leo J Schowalter,"MATH-9990, PHYS-2050, PHYS-6900, PHYS-6940, PHYS-9990"
Christopher L Hubbell,"COGS-6570, COGS-6940, IHSS-4940, PSYC-1200, PSYC-2800, PSYC-2940, PSYC-2962, PSYC-4450, PSYC-4800, PSYC-4940, PSYC-4961, PSYC-4990, PSYC-6570, PSYC-6940, PSYC-6990"
Ralph G Noble,"COGS-4990, GSAS-1600, GSAS-4960, GSAS-4961, GSAS-4990, GSAS-6980, IHSS-1963, IHSS-1964, IHSS-1966, IHSS-1968, IHSS-1972, IHSS-1977, IHSS-2940, IHSS-4940, INQR-1960, PHIL-4940, PSYC-1200, PSYC-2310, PSYC-2940, PSYC-4110, PSYC-4320, PSYC-4340, PSYC-4940, PSYC-4960, PSYC-4961, PSYC-4962, PSYC-4964, PSYC-4966, PSYC-4990, PSYC-6940, PSYC-6990"
Alan F Stokes,"CSCI-4940, MATH-4940, PSYC-2220, PSYC-4940, PSYC-4964, PSYC-6940"
Christopher A. VerWys,"PHIL-2600, PHIL-2940, PHIL-2941, PHIL-2960, PHIL-4570, PHIL-4940, PHIL-4941, PHIL-4960, PSYC-2730, PSYC-2940, PSYC-2961, PSYC-2962, PSYC-4260, PSYC-4370, PSYC-4400, PSYC-4720, PSYC-4740, PSYC-4750, PSYC-4940, PSYC-4941, PSYC-4942, PSYC-4943, PSYC-4961, PSYC-4990, PSYC-6200, PSYC-6940, PSYC-6990"
